4930453N24Rik	16	craniofacial | growth/size/body | hearing/vestibular/ear | integument | mortality/aging | pigmentation | skeleton
Aak1	6	behavior | cardiovascular | hearing/vestibular/ear | hematopoietic | homeostasis | limbs/digits/tail | mortality/aging | nervous system | skeleton | vision/eye
Abcb1a	5	cardiovascular | digestive/alimentary | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | hematopoietic | homeostasis | immune | nervous system
Abhd12	2	behavior | hearing/vestibular/ear | hematopoietic | homeostasis | immune | muscle | nervous system
Abr	11	
Acan	7	behavior | craniofacial | digestive/alimentary | growth/size/body | hearing/vestibular/ear | homeostasis | limbs/digits/tail | liver/biliary | mortality/aging | nervous system | respiratory | skeleton
Acd	8	craniofacial | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | homeostasis | integument | limbs/digits/tail | mortality/aging | pigmentation | renal/urinary | reproductive
Ache	5	behavior | craniofacial | growth/size/body | hearing/vestibular/ear | homeostasis | mortality/aging | nervous system | vision/eye
Acsl4	X	cardiovascular | growth/size/body | hearing/vestibular/ear | hematopoietic | limbs/digits/tail | mortality/aging | skeleton
Actb	5	hearing/vestibular/ear | nervous system
Actg1	11	growth/size/body | hearing/vestibular/ear | mortality/aging | nervous system
Actn4	7	cardiovascular | craniofacial | digestive/alimentary | embryo | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | homeostasis | immune | integument | liver/biliary | mortality/aging | muscle | neoplasm | nervous system | respiratory | skeleton | vision/eye
Acvr1	2	behavior | cardiovascular | cellular | craniofacial | digestive/alimentary | embryo | growth/size/body | hearing/vestibular/ear | mortality/aging | nervous system | skeleton
Adamts3	5	behavior | cardiovascular | craniofacial | digestive/alimentary | embryo | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | homeostasis | integument | liver/biliary | mortality/aging | nervous system | renal/urinary | skeleton | vision/eye
Adamts15	9	hearing/vestibular/ear | reproductive
Adcy9	16	cardiovascular | craniofacial | digestive/alimentary | embryo | hearing/vestibular/ear | homeostasis | immune | liver/biliary | mortality/aging | nervous system | respiratory | skeleton | vision/eye
Adgrb1	15	behavior | hearing/vestibular/ear | hematopoietic | homeostasis | immune
Adgrv1	13	behavior | hearing/vestibular/ear | nervous system
Agap1	1	behavior | craniofacial | growth/size/body | hearing/vestibular/ear | hematopoietic | homeostasis | integument | limbs/digits/tail | mortality/aging | skeleton | vision/eye
Agtpbp1	13	behavior | hearing/vestibular/ear | nervous system
Ahl2	5	hearing/vestibular/ear
Ahl3	17	hearing/vestibular/ear
Ahr	12	behavior | cardiovascular | growth/size/body | hearing/vestibular/ear | homeostasis | immune | neoplasm | renal/urinary | vision/eye
Ahrr	13	behavior | hearing/vestibular/ear | homeostasis
Ahsg	16	hearing/vestibular/ear | limbs/digits/tail | skeleton
Akr1c12	13	hearing/vestibular/ear
Aldh1a2	9	cardiovascular | craniofacial | embryo | growth/size/body | hearing/vestibular/ear | homeostasis | limbs/digits/tail | mortality/aging | nervous system
Aldh1l1	6	cardiovascular | hearing/vestibular/ear | vision/eye
Aldoc	11	hearing/vestibular/ear | renal/urinary
Alg10b	15	hearing/vestibular/ear | nervous system
Alms1	6	growth/size/body | hearing/vestibular/ear | homeostasis | reproductive | vision/eye
anem	UN	craniofacial | growth/size/body | hearing/vestibular/ear | hematopoietic | immune | integument | limbs/digits/tail | pigmentation | reproductive
Ank	15	behavior | cellular | craniofacial | growth/size/body | hearing/vestibular/ear | hematopoietic | homeostasis | immune | limbs/digits/tail | mortality/aging | respiratory | skeleton
Ankfn1	11	behavior | growth/size/body | hearing/vestibular/ear
Ankrd6	4	hearing/vestibular/ear | nervous system
Ankrd11	8	behavior | embryo | growth/size/body | hearing/vestibular/ear | homeostasis | mortality/aging | skeleton | vision/eye
Anp32b	4	cardiovascular | cellular | craniofacial | digestive/alimentary | growth/size/body | hearing/vestibular/ear | homeostasis | mortality/aging | neoplasm | nervous system | renal/urinary | respiratory | skeleton
Ap1g1	8	behavior | cardiovascular | cellular | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | homeostasis | nervous system | reproductive | vision/eye
Ap3b1	13	craniofacial | growth/size/body | hearing/vestibular/ear | immune | integument | limbs/digits/tail | pigmentation
Ap3b2	7	behavior | hearing/vestibular/ear | nervous system
Ap3d1	10	behavior | hearing/vestibular/ear | integument | nervous system | pigmentation
Apaf1	10	behavior | cellular | craniofacial | digestive/alimentary | embryo | endocrine/exocrine | growth/size/body | hearing/vestibular/ear | mortality/aging | nervous system | reproductive | respiratory | skeleton | vision/eye
